Req_ID,Veh_ID,Tile_name,Tx1,P1,Pr1,Tx2,P2,Total delay,Distance
45,4,"(10, 10)_6_7_osm",0.0,7.029259081244548e-08,0.0016,9.8304e-05,7.029259081244548e-08,0.001698444585181625,21.087777243733644
45,4,"(10, 10)_6_7_pcd",0.0,7.029259081244548e-08,0.0016,9.8304e-05,7.029259081244548e-08,0.001698444585181625,21.087777243733644
46,0,"(10, 10)_6_7_osm",0.0,8.170250685180871e-08,0.0016,9.8304e-05,8.170250685180871e-08,0.0016984674050137037,24.510752055542614
46,0,"(10, 10)_6_7_pcd",0.0,8.170250685180871e-08,0.0016,9.8304e-05,8.170250685180871e-08,0.0016984674050137037,24.510752055542614
47,1,"(10, 10)_4_9_osm",0.0,3.935086005593747e-07,0.0016,9.8304e-05,3.935086005593747e-07,0.001699091017201119,118.05258016781242
47,1,"(10, 10)_4_9_pcd",0.0,3.935086005593747e-07,0.0016,9.8304e-05,3.935086005593747e-07,0.001699091017201119,118.05258016781242
48,2,"(10, 10)_6_9_osm",0.0,2.467305325188354e-07,0.0016,9.8304e-05,2.467305325188354e-07,0.0016987974610650376,74.01915975565062
48,2,"(10, 10)_6_9_pcd",0.0,2.467305325188354e-07,0.0016,9.8304e-05,2.467305325188354e-07,0.0016987974610650376,74.01915975565062
49,3,"(10, 10)_4_1_osm",0.0,9.607017963832745e-07,0.0016,9.8304e-05,9.607017963832745e-07,0.0017002254035927667,288.21053891498235
49,3,"(10, 10)_4_1_pcd",0.0,9.607017963832745e-07,0.0016,9.8304e-05,9.607017963832745e-07,0.0017002254035927667,288.21053891498235
50,4,"(10, 10)_5_7_osm",0.0,7.727699752986874e-08,0.0016,9.8304e-05,7.727699752986874e-08,0.00169845855399506,23.18309925896062
50,4,"(10, 10)_5_7_pcd",0.0,7.727699752986874e-08,0.0016,9.8304e-05,7.727699752986874e-08,0.00169845855399506,23.18309925896062
51,0,"(10, 10)_6_7_osm",0.0,7.166010246992101e-08,0.0016,9.8304e-05,7.166010246992101e-08,0.00169844732020494,21.498030740976304
51,0,"(10, 10)_6_7_pcd",0.0,7.166010246992101e-08,0.0016,9.8304e-05,7.166010246992101e-08,0.00169844732020494,21.498030740976304
52,2,"(10, 10)_6_9_osm",0.0,2.450358640516533e-07,0.0016,9.8304e-05,2.450358640516533e-07,0.0016987940717281033,73.51075921549598
52,2,"(10, 10)_6_9_pcd",0.0,2.450358640516533e-07,0.0016,9.8304e-05,2.450358640516533e-07,0.0016987940717281033,73.51075921549598
53,3,"(10, 10)_4_1_osm",0.0,9.129084179797697e-07,0.0016,9.8304e-05,9.129084179797697e-07,0.0017001298168359596,273.8725253939309
53,3,"(10, 10)_4_1_pcd",0.0,9.129084179797697e-07,0.0016,9.8304e-05,9.129084179797697e-07,0.0017001298168359596,273.8725253939309
54,4,"(10, 10)_5_7_osm",0.0,8.631556665110186e-08,0.0016,9.8304e-05,8.631556665110186e-08,0.0016984766311333025,25.894669995330556
54,4,"(10, 10)_5_7_pcd",0.0,8.631556665110186e-08,0.0016,9.8304e-05,8.631556665110186e-08,0.0016984766311333025,25.894669995330556
55,5,"(10, 10)_9_7_osm",0.0,3.7326781372305037e-07,0.0016,9.8304e-05,3.7326781372305037e-07,0.0016990505356274464,111.9803441169151
55,5,"(10, 10)_9_7_pcd",0.0,3.7326781372305037e-07,0.0016,9.8304e-05,3.7326781372305037e-07,0.0016990505356274464,111.9803441169151
56,0,"(10, 10)_5_7_osm",0.0,7.376839675370267e-08,0.0016,9.8304e-05,7.376839675370267e-08,0.0016984515367935076,22.1305190261108
56,0,"(10, 10)_5_7_pcd",0.0,7.376839675370267e-08,0.0016,9.8304e-05,7.376839675370267e-08,0.0016984515367935076,22.1305190261108
57,2,"(10, 10)_7_9_osm",0.0,2.4287061082601175e-07,0.0016,9.8304e-05,2.4287061082601175e-07,0.001698789741221652,72.86118324780352
57,2,"(10, 10)_7_9_pcd",0.0,2.4287061082601175e-07,0.0016,9.8304e-05,2.4287061082601175e-07,0.001698789741221652,72.86118324780352
58,3,"(10, 10)_4_2_osm",0.0,8.58388790259306e-07,0.0016,9.8304e-05,8.58388790259306e-07,0.0017000207775805189,257.5166370777918
58,3,"(10, 10)_4_2_pcd",0.0,8.58388790259306e-07,0.0016,9.8304e-05,8.58388790259306e-07,0.0017000207775805189,257.5166370777918
59,4,"(10, 10)_5_7_osm",0.0,1.0358503062837131e-07,0.0016,9.8304e-05,1.0358503062837131e-07,0.0016985111700612567,31.075509188511393
59,4,"(10, 10)_5_7_pcd",0.0,1.0358503062837131e-07,0.0016,9.8304e-05,1.0358503062837131e-07,0.0016985111700612567,31.075509188511393
60,5,"(10, 10)_9_7_osm",0.0,3.664592210899718e-07,0.0016,9.8304e-05,3.664592210899718e-07,0.0016990369184421799,109.93776632699154
60,5,"(10, 10)_9_7_pcd",0.0,3.664592210899718e-07,0.0016,9.8304e-05,3.664592210899718e-07,0.0016990369184421799,109.93776632699154
61,0,"(10, 10)_5_7_osm",0.0,8.370001740775781e-08,0.0016,9.8304e-05,8.370001740775781e-08,0.0016984714000348154,25.11000522232734
61,0,"(10, 10)_5_7_pcd",0.0,8.370001740775781e-08,0.0016,9.8304e-05,8.370001740775781e-08,0.0016984714000348154,25.11000522232734
62,2,"(10, 10)_7_9_osm",0.0,2.2864800554012344e-07,0.0016,9.8304e-05,2.2864800554012344e-07,0.0016987612960110805,68.59440166203703
62,2,"(10, 10)_7_9_pcd",0.0,2.2864800554012344e-07,0.0016,9.8304e-05,2.2864800554012344e-07,0.0016987612960110805,68.59440166203703
63,3,"(10, 10)_4_2_osm",0.0,7.972012765930263e-07,0.0016,9.8304e-05,7.972012765930263e-07,0.0016998984025531863,239.16038297790791
63,3,"(10, 10)_4_2_pcd",0.0,7.972012765930263e-07,0.0016,9.8304e-05,7.972012765930263e-07,0.0016998984025531863,239.16038297790791
64,4,"(10, 10)_4_7_osm",0.0,1.3668705049185597e-07,0.0016,9.8304e-05,1.3668705049185597e-07,0.0016985773741009836,41.00611514755679
