Time,Vehicle ID,X,Y,Lat,Long,Speed,tile_name,matrix_indices,row_number
8,7,1442.422513735792,488.28587095584817,36.90710270825107,-1.1852178666080349,1.7141260907519609,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",44
8,8,1525.73,389.03,36.907850354068806,-1.18611582836228,0.0,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",45
9,0,1444.2619321847062,434.4804656400539,36.907118865639376,-1.1857043445598414,9.833815719064791,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",46
9,1,1377.514176890398,542.2695957166034,36.90652002792741,-1.1847293455280772,12.18147817079284,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",47
9,2,1410.630805175262,526.0834962695025,36.906817392042825,-1.18487591352986,13.429240827972762,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",48
9,3,1353.4269951749188,47.71805857645404,36.90630029778526,-1.189200517427804,11.76132249846123,"['(10, 10)_2_0_osm', '(10, 10)_2_0_pcd']","(2, 0)",49
9,4,1428.340441124148,402.86725637286094,36.90697563411391,-1.185990056991587,9.798950472241268,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",50
9,5,1507.3610241728093,396.3731970407888,36.90768540227453,-1.186049311438167,7.793219656567088,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",51
9,6,1320.9605722200797,497.7567692603737,36.906011726349234,-1.1851314080703548,5.822080438048579,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",52
9,7,1443.5831590534142,491.157740340455,36.90711315338815,-1.185191909397423,3.098429375723935,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",53
9,8,1524.2309025830398,389.62929553094966,36.90783689230455,-1.186110399760218,1.6141484214691446,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",54
9,9,1376.55,441.02,36.90651067943466,-1.1856447563349468,0.0,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",55
10,0,1444.3523287635749,422.29590561588833,36.90711959486739,-1.1858145082105034,11.58786633875547,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",56
10,1,1365.8319342409538,546.6694013897707,36.906415120698654,-1.1846894861957935,12.482849215085889,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",57
10,2,1422.9635663128856,521.1521477842401,36.90692813905811,-1.1849205830984746,13.282583635451966,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",58
10,3,1354.7642925580017,61.403992694967165,36.90631240350252,-1.1890767894139898,13.759625298506576,"['(10, 10)_2_0_osm', '(10, 10)_2_0_pcd']","(2, 0)",59
10,4,1415.6775780746957,401.11260775276696,36.906861876469215,-1.1860058345108009,12.305836108513176,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",60
10,5,1498.3698526270953,399.9674815958118,36.90760466234944,-1.1860167533105834,9.682664990867488,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",61
10,6,1317.8041561707334,490.168638289434,36.90598332193149,-1.185199992241513,8.218592732260005,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",62
10,7,1445.3735988796095,495.58795622446536,36.90712926631075,-1.1851518671693255,4.77971286207903,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",63
10,8,1520.3370295733428,391.1859526677015,36.90780192566469,-1.1860962990842934,4.192715497268364,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",64
